100,900
100,950
150,900
150,950
200,900
200,950
250,900
250,950
300,900
300,950
350,900
350,950
400,900
400,950
450,900
450,950
500,900
500,950
550,900
550,950
600,900
600,950
650,900
650,950
700,900
700,950
750,900
750,950
800,900
800,950
850,900
850,950
900,900
900,950
950,900
950,950
1000,900
1000,950
1050,900
1050,950
1100,900
1100,950
1150,900
1150,950
1200,900
1200,950
1250,900
1250,950
1350,600
1350,650
1400,600
1400,650
1450,600
1450,650
1500,600
1500,650
1550,600
1550,650
1600,600
1600,650
1700,600
1700,650
1750,600
1750,650
1900,600
1900,650
1950,600
1950,650
2100,600
2100,650
2150,600
2150,650
2200,600
2200,650
2250,600
2250,650
2300,600
2300,650
2350,600
2350,650
2400,600
2400,650
2700,600
2700,650
2750,600
2750,650
2800,600
2800,650
2850,600
2850,650
2900,600
2900,650
3100,900
3100,950
3150,900
3150,950
3200,900
3200,950
3250,900
3250,950
3300,900
3300,950
3350,900
3350,950
5600,900
5600,950
5650,900
5650,950
5700,900
5700,950
5750,900
5750,950
5800,900
5800,950
5850,900
5850,950
5900,900
5900,950
5950,900
5950,950
6000,900
6000,950
6050,900
6050,950
6100,900
6100,950
6150,900
6150,950
6200,900
6200,950
6250,900
6250,950
6300,900
6300,950
6350,900
6350,950
6400,900
6400,950
6450,900
6450,950
6500,900
6500,950
6550,900
6550,950
6600,900
6600,950
6650,900
6650,950
6700,900
6700,950
6750,900
6750,950
6800,900
6800,950
6850,900
6850,950
6900,900
6900,950
6950,900
6950,950
7000,900
7000,950
7050,900
7050,950
7100,900
7100,950
7150,900
7150,950
7200,900
7200,950
7250,900
7250,950
7300,850
7300,900
7300,950
7350,800
7350,850
7350,900
7350,950
7400,700
7400,750
7400,800
7400,850
7400,900
7400,950
7450,650
7450,700
7450,750
7450,800
7450,850
7450,900
7450,950
7500,550
7500,600
7500,650
7500,700
7500,750
7500,800
7500,850
7500,900
7500,950
7550,450
7550,500
7550,550
7550,600
7550,650
7550,700
7550,750
7550,800
7550,850
7550,900
7550,950
7600,450
7600,500
7600,550
7600,600
7600,650
7600,700
7600,750
7600,800
7600,850
7600,900
7600,950
7650,450
7650,500
7650,550
7650,600
7650,650
7650,700
7650,750
7650,800
7650,850
7650,900
7650,950
